,product,uf,volume,year_month,unit,created_at
0,ÓLEO DIESEL S-10 (m3),RONDÔNIA,81453.67,2013-01-01,m3,2021-11-19 10:40:49
1,ÓLEO DIESEL S-10 (m3),ACRE,1483.0,2013-01-01,m3,2021-11-19 10:40:49
2,ÓLEO DIESEL S-10 (m3),AMAZONAS,6836.3,2013-01-01,m3,2021-11-19 10:40:49
3,ÓLEO DIESEL S-10 (m3),RORAIMA,1475.3,2013-01-01,m3,2021-11-19 10:40:49
4,ÓLEO DIESEL S-10 (m3),PARÁ,40913.48,2013-01-01,m3,2021-11-19 10:40:49
5,ÓLEO DIESEL S-10 (m3),AMAPÁ,683.948,2013-01-01,m3,2021-11-19 10:40:49
6,ÓLEO DIESEL S-10 (m3),TOCANTINS,11771.7,2013-01-01,m3,2021-11-19 10:40:49
7,ÓLEO DIESEL S-10 (m3),MARANHÃO,12974.0,2013-01-01,m3,2021-11-19 10:40:49
8,ÓLEO DIESEL S-10 (m3),PIAUÍ,6373.25,2013-01-01,m3,2021-11-19 10:40:49
9,ÓLEO DIESEL S-10 (m3),CEARÁ,47724.922,2013-01-01,m3,2021-11-19 10:40:49
10,ÓLEO DIESEL S-10 (m3),RIO GRANDE DO NORTE,3025.55,2013-01-01,m3,2021-11-19 10:40:49
11,ÓLEO DIESEL S-10 (m3),PARAÍBA,2964.5,2013-01-01,m3,2021-11-19 10:40:49
12,ÓLEO DIESEL S-10 (m3),PERNAMBUCO,94832.55,2013-01-01,m3,2021-11-19 10:40:49
13,ÓLEO DIESEL S-10 (m3),ALAGOAS,58801.636999999995,2013-01-01,m3,2021-11-19 10:40:49
14,ÓLEO DIESEL S-10 (m3),SERGIPE,9882.4,2013-01-01,m3,2021-11-19 10:40:49
15,ÓLEO DIESEL S-10 (m3),BAHIA,55057.999,2013-01-01,m3,2021-11-19 10:40:49
16,ÓLEO DIESEL S-10 (m3),MINAS GERAIS,102297.806,2013-01-01,m3,2021-11-19 10:40:49
17,ÓLEO DIESEL S-10 (m3),ESPÍRITO SANTO,13020.0,2013-01-01,m3,2021-11-19 10:40:49
18,ÓLEO DIESEL S-10 (m3),RIO DE JANEIRO,92614.39,2013-01-01,m3,2021-11-19 10:40:49
19,ÓLEO DIESEL S-10 (m3),SÃO PAULO,235476.41,2013-01-01,m3,2021-11-19 10:40:49
20,ÓLEO DIESEL S-10 (m3),PARANÁ,54564.884,2013-01-01,m3,2021-11-19 10:40:49
21,ÓLEO DIESEL S-10 (m3),SANTA CATARINA,31415.778,2013-01-01,m3,2021-11-19 10:40:49
22,ÓLEO DIESEL S-10 (m3),RIO GRANDE DO SUL,36805.532,2013-01-01,m3,2021-11-19 10:40:49
23,ÓLEO DIESEL S-10 (m3),MATO GROSSO DO SUL,10515.1,2013-01-01,m3,2021-11-19 10:40:49
24,ÓLEO DIESEL S-10 (m3),MATO GROSSO,15429.153,2013-01-01,m3,2021-11-19 10:40:49
25,ÓLEO DIESEL S-10 (m3),GOIÁS,14061.55,2013-01-01,m3,2021-11-19 10:40:49
26,ÓLEO DIESEL S-10 (m3),DISTRITO FEDERAL,66012.73,2013-01-01,m3,2021-11-19 10:40:49
27,ÓLEO DIESEL S-500 (m3),RONDÔNIA,0.0,2013-01-01,m3,2021-11-19 10:40:49
28,ÓLEO DIESEL S-500 (m3),ACRE,0.0,2013-01-01,m3,2021-11-19 10:40:49
29,ÓLEO DIESEL S-500 (m3),AMAZONAS,541.0,2013-01-01,m3,2021-11-19 10:40:49
30,ÓLEO DIESEL S-500 (m3),RORAIMA,0.0,2013-01-01,m3,2021-11-19 10:40:49
31,ÓLEO DIESEL S-500 (m3),PARÁ,2056.0,2013-01-01,m3,2021-11-19 10:40:49
32,ÓLEO DIESEL S-500 (m3),AMAPÁ,0.0,2013-01-01,m3,2021-11-19 10:40:49
33,ÓLEO DIESEL S-500 (m3),TOCANTINS,2330.5,2013-01-01,m3,2021-11-19 10:40:49
34,ÓLEO DIESEL S-500 (m3),MARANHÃO,69684.071,2013-01-01,m3,2021-11-19 10:40:49
35,ÓLEO DIESEL S-500 (m3),PIAUÍ,39924.95,2013-01-01,m3,2021-11-19 10:40:49
36,ÓLEO DIESEL S-500 (m3),CEARÁ,2053.5,2013-01-01,m3,2021-11-19 10:40:49
37,ÓLEO DIESEL S-500 (m3),RIO GRANDE DO NORTE,1022.55,2013-01-01,m3,2021-11-19 10:40:49
38,ÓLEO DIESEL S-500 (m3),PARAÍBA,38591.16,2013-01-01,m3,2021-11-19 10:40:49
39,ÓLEO DIESEL S-500 (m3),PERNAMBUCO,749045.37,2013-01-01,m3,2021-11-19 10:40:49
40,ÓLEO DIESEL S-500 (m3),ALAGOAS,32434.0,2013-01-01,m3,2021-11-19 10:40:49
41,ÓLEO DIESEL S-500 (m3),SERGIPE,23705.3,2013-01-01,m3,2021-11-19 10:40:49
42,ÓLEO DIESEL S-500 (m3),BAHIA,240737.51,2013-01-01,m3,2021-11-19 10:40:49
43,ÓLEO DIESEL S-500 (m3),MINAS GERAIS,220656.52,2013-01-01,m3,2021-11-19 10:40:49
44,ÓLEO DIESEL S-500 (m3),ESPÍRITO SANTO,88926.941,2013-01-01,m3,2021-11-19 10:40:49
45,ÓLEO DIESEL S-500 (m3),RIO DE JANEIRO,82454.598,2013-01-01,m3,2021-11-19 10:40:49
46,ÓLEO DIESEL S-500 (m3),SÃO PAULO,628861.003,2013-01-01,m3,2021-11-19 10:40:49
47,ÓLEO DIESEL S-500 (m3),PARANÁ,341786.96,2013-01-01,m3,2021-11-19 10:40:49
48,ÓLEO DIESEL S-500 (m3),SANTA CATARINA,108014.698,2013-01-01,m3,2021-11-19 10:40:49
49,ÓLEO DIESEL S-500 (m3),RIO GRANDE DO SUL,92444.418,2013-01-01,m3,2021-11-19 10:40:49
50,ÓLEO DIESEL S-500 (m3),MATO GROSSO DO SUL,5890.73,2013-01-01,m3,2021-11-19 10:40:49
51,ÓLEO DIESEL S-500 (m3),MATO GROSSO,981.225,2013-01-01,m3,2021-11-19 10:40:49
52,ÓLEO DIESEL S-500 (m3),GOIÁS,28780.9,2013-01-01,m3,2021-11-19 10:40:49
53,ÓLEO DIESEL S-500 (m3),DISTRITO FEDERAL,0.0,2013-01-01,m3,2021-11-19 10:40:49
54,ÓLEO DIESEL S-1800 (m3),RONDÔNIA,57128.718,2013-01-01,m3,2021-11-19 10:40:49
55,ÓLEO DIESEL S-1800 (m3),ACRE,14139.166,2013-01-01,m3,2021-11-19 10:40:49
56,ÓLEO DIESEL S-1800 (m3),AMAZONAS,97615.793,2013-01-01,m3,2021-11-19 10:40:49
57,ÓLEO DIESEL S-1800 (m3),RORAIMA,5462.8,2013-01-01,m3,2021-11-19 10:40:49
58,ÓLEO DIESEL S-1800 (m3),PARÁ,138496.156,2013-01-01,m3,2021-11-19 10:40:49
59,ÓLEO DIESEL S-1800 (m3),AMAPÁ,36902.285,2013-01-01,m3,2021-11-19 10:40:49
60,ÓLEO DIESEL S-1800 (m3),TOCANTINS,58116.55,2013-01-01,m3,2021-11-19 10:40:49
61,ÓLEO DIESEL S-1800 (m3),MARANHÃO,12291.8,2013-01-01,m3,2021-11-19 10:40:49
62,ÓLEO DIESEL S-1800 (m3),PIAUÍ,10.0,2013-01-01,m3,2021-11-19 10:40:49
63,ÓLEO DIESEL S-1800 (m3),CEARÁ,34480.0,2013-01-01,m3,2021-11-19 10:40:49
64,ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO NORTE,48146.9,2013-01-01,m3,2021-11-19 10:40:49
65,ÓLEO DIESEL S-1800 (m3),PARAÍBA,61.0,2013-01-01,m3,2021-11-19 10:40:49
66,ÓLEO DIESEL S-1800 (m3),PERNAMBUCO,267.0,2013-01-01,m3,2021-11-19 10:40:49
67,ÓLEO DIESEL S-1800 (m3),ALAGOAS,0.0,2013-01-01,m3,2021-11-19 10:40:49
68,ÓLEO DIESEL S-1800 (m3),SERGIPE,0.0,2013-01-01,m3,2021-11-19 10:40:49
